Name,Code,Capital,Area(km-sq),Population,Density(per-km-sq),GDP(R$-mil),HDI
Acre,AC,Rio Branco,164123,880000,6.34,15000,0.719
Alagoas,AL,Maceio,27779,3334000,125.52,50000,0.683
Amapa,AP,Macapa,142829,838000,2.63,12000,0.74
Amazonas,AM,Manaus,1559159,4147000,2.58,94000,0.733
Bahia,BA,Salvador,564733,14897000,30.52,262000,0.714
Ceara,CE,Fortaleza,148921,8843000,60.33,143000,0.735
Distrito Federal,DF,Brasilia,5780,3124000,493,227000,0.85
Goias,GO,Goiania,340112,7006000,18.46,186000,0.769
Maranhao,MA,Sao Luis,331937,7082000,19.03,89000,0.687
Mato Grosso,MT,Cuiaba,903366,3491000,4.01,130000,0.774
Mato Grosso do Sul,MS,Campo Grande,357146,2786000,7.83,96000,0.766
Minas Gerais,MG,Belo Horizonte,586522,21174000,31.72,556000,0.787
Para,PA,Belem,1247955,8598000,7.02,147000,0.698
Paraiba,PB,Joao Pessoa,56470,4025000,78.93,54000,0.722
Parana,PR,Curitiba,199308,11440000,43.46,410000,0.792
Pernambuco,PE,Recife,98148,9564000,103.83,172000,0.727
Piaui,PI,Teresina,251578,3267000,9.73,39000,0.697
Rio de Janeiro,RJ,Rio de Janeiro,43780,17272000,387.46,666000,0.796
Rio Grande do Norte,RN,Natal,52811,3513000,62.74,69000,0.731
Rio Grande do Sul,RS,Porto Alegre,281730,11385000,36.84,429000,0.787
Rondonia,RO,Porto Velho,237591,1784000,7.34,27000,0.725
Roraima,RR,Boa Vista,224301,629000,2.54,10000,0.752
Sao Paulo,SP,Sao Paulo,248223,45926000,175.73,1930000,0.826
Sergipe,SE,Aracaju,21915,2303000,97.64,40000,0.702
Tocantins,TO,Palmas,277721,1580000,5.74,28000,0.743
Espirito Santo,ES,Vitoria,46095,3963000,80.63,113000,0.772
Santa Catarina,SC,Florianopolis,95736,7158000,69.74,265000,0.808
